"original_text","cleaned_tamil","valence","arousal","dominance","utterance_count","depression_type"
"People-a pick pannadha","மக்கள் பரு தேர்வு பண்ணை",4.723,3.532,5.42,1,"Atypical"
"Worst part enna-na","மோசமான பகுதி",4.2,4.385,4.305,1,"Situational"
"Basic bloodwork pannu","அடிப்படை ளூஓற்க் பன்னி",5.933,3.937,5.61,1,"Situational"
"Vacation-lendhu work-ku back poga hate pannuren. Everybody enna pannu-nu kekkuranga","விடுமுறை ளென்து வேலை கே மீண்டும் போ வெறுக்கிறேன் பன்னுறென் எல்லோரும் பன்னி டு கெக்குறங",5.703,4.433,5.351,2,"Situational"
"Therapist-a paaru","தெறபிச்ட் ஊக பாறை",4.94,3.87,5.023,1,"Situational"
"Naan relate pannuren. Anxiety","மான் தொடர்பு பன்னுறென் கவலை",4.7,4.32,4.725,1,"Situational"
"Sometimes rest venum. Un vacation","சிலோ நேரங்களில் ஓய்வு வெறும் ஷன் விடுமுறை",5.513,3.86,5.427,1,"Situational"
"Crossroads-la irukka. Potential friends-a ghost pannuradhu","குறுக்கு வழி லே இறக்க சாத்தியமான நண்பர்கள் பரு பேய் பன்னுறது",4.464,4.454,4.88,1,"Situational"
"Depression logical illa. Brain-la chemical imbalance or some other physiological thing. Zero friends-nu sonna","மனச்சோர்வு தர்க்கரீதியானது நல்ல பைன் லே இரசாயன ஏற்றத்தாழ்வு நல்லது சிலோ ஓதெற் உடலியல் விஷயம் ஹீரோ நண்பர்கள் டு சோண்ண",5.247,4.325,5.112,1,"Situational"
"Um. Disconnected","ஓம் துண்டிக்கப்பட்டது",4.6,4.275,5.15,1,"Situational"
"Help somebody","யாருக்காவது உதவுங்கள்",5.0,5.0,5.0,1,"Situational"
"Naan same maari irukken. Days off-la home-la irukka love pannuren. Still","மான் அபே மாடி இறுக்கென் விடுமுறை நாட்கள் லே வீடு லே இறக்க அம்பு பன்னுறென் ச்டிள்ள்",5.585,4.319,5.424,1,"Situational"
"Clinically depressed-a irukkalaam-nu consider pannirukka? Medication","மருத்துவ ரீதியாக மனச்சோர்வு ஊக இறுக்களாம் டு கருதுகின்றனர் பன்னிறுக்க மருந்து",4.604,4.659,4.999,1,"Melancholic"
"This is me. Avoidant personality disorder irukku-nu find panninen","இரு மான் தவிர்க்கவும் ஆளுமைக் கோளாறு இறுக்கு டு கண்டுபிடிக்க பன்னினென்",5.098,4.589,5.069,1,"Situational"
"Right there with you","உடன் அங்கேயே ரோ",4.883,4.297,5.317,1,"Situational"
"Idhu before paathirukken. Perfect healthy life-kku strive pannuravanga boring robots-a aaguranga. People-oda bars-ku po. Adventure buddies find pannu","இரு முன் பாதிறுக்கென் யானது கெஅள்த்ய் வாழ்க்கை நக்கு பாடுபடுங்கள் பன்னுறவங சலிப்பூட்டும் ரோபோக்கள் ஊக ஆகுறங மக்கள் ஊக பார்க் கே போ சாகச நண்பர்கள் கண்டுபிடிக்கிறார்கள் பன்னி",5.512,4.816,5.13,2,"Situational"
"Going out stressful","மன அழுத்தத்துடன் வெளியே செல்வது",4.992,4.66,5.235,1,"Situational"
"Physical-a edhavadhu pannuradhu help pannudhu","உடல் பரு எதவாது பன்னுறது உதவி பன்னுது",4.882,4.507,5.33,1,"Situational"
"This is all you need to hear - Jesus un life-la venum!","இதெல்லாம் ரோ வாழ்க்கையில் இயேசுவைக் கேட்க வேண்டும் லே வெறும்",5.005,4.306,5.155,1,"Situational"
"Paper-la good-a irukkuradhu = airplane mode-la life vaazhuradhu. Veliya po","காகிதம் லே நல்ல பரு இறுக்குறது அஇற்ப்ளனெ முறை லே வாழ்க்கை வாழுறது வெளியே போ",5.322,4.241,5.592,1,"Situational"
"No way out unless people offers-a accept pannu or events-ku po. Inside ellam time sit pannitu why indha maari feel pannuren-nu wonder pannida koodadhu. Adhu dhaan reason. First couple times veliya poga anxious feel pannum","மக்கள் ஏற்றுக்கொள்ளும் வரி வழி ை பன்னி நல்லது நிகழ்வுகள் கே போ உள்ளே எல்ம் நேரம் உட்கார்ந்து பன்னிடு ஷன் இன்க மாடி எள் பன்னுறென் டு ஆச் யம் பன்னி கூஅது அணு தார் காரணம் முதல் இரண்டு முறை வெளியே போ கவலையுடன் எள் பன்னும்",5.18,4.41,5.122,3,"Situational"
"Cortisol levels","கார்டிசோன் அளவுகள்",4.71,4.195,5.03,1,"Situational"
"Solo adventures start pannu. New or cool thrift store-ku one Saturday po. Takeout vangitu. Cemetery explore pannu. Routine change pannum","தனி சாகசங்கள் தொடங்குகின்றன பன்னி புதிய நல்லது எள் த்றிட் கடை கே பரு சனிக்கிழமை போ டக்அவுட் வஙிடு கல்லறை ஆய்வு பன்னி வழக்கமான சூ",5.221,4.439,5.245,1,"Stable/Neutral"
"Life-la stuff irukkanum. Next vacation Nepal-ku po","வாழ்க்கை லே பொருட்கள் இறுக்கனும் அடுத்த விடுமுறை நேபாம் கே போ",5.748,4.721,5.363,1,"Situational"
"Biologically social-a wired-a irukkom. Social circles need pannuvom","உயிரியல் ரீதியாக சமூகம் பரு கம்பி ஊக இறுக்கோம் சமூக கட்டங்கள் தேவை பன்னுவோம்",4.937,4.264,5.125,1,"Situational"
"Depression sometimes anger at the self. Yourself pathi angry-a irukkura things irukka?","சிலோ நேரங்களில் மனச்சோர்வு அஙெற் சுயமாக நீங்களே பசி அங்ற்ய் ஊக இறுக்கு விசயங்கள் இறக்க",4.358,4.823,4.678,1,"Melancholic"
"Drugs or alcohol try pannirukka? Exactly what you need aagum.","மருந்துகள் நல்லது மது முயற்சி பன்னிறுக்க ரோ தேவை ஆகும்",5.246,4.392,5.284,2,"Stable/Neutral"
"Dying pathi think pannuradhu concerning. Doctor-a soon paakkalaama? Depressed-a irukka medical condition","்கும் பசி நினைக்கிறார்கள் பன்னுறது பற்று மருத்துவர் ஊக சூப் பாக்களாம மனச்சோர்வடைந்த ஊக இறக்க மருத்துவ நிலை",4.719,4.651,4.908,1,"Melancholic"
"Burning Man-ku po.","எரியும் மன கே போ",5.435,4.865,4.707,1,"Situational"
